player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Keenan Allen,LAC,WR,16,2025,118.0,0.45,0.03,0.15,0.01
Jakobi Meyers,JAC,WR,15,2025,119.0,0.44,0.03,0.31,0.02
Malik Nabers,NYG,WR,4,2025,120.0,0.43,0.11,0.22,0.06
Darren Waller,MIA,TE,9,2025,121.0,0.42,0.05,0.18,0.02
Oronde Gadsden II,LAC,TE,14,2025,122.0,0.4,0.03,0.1,0.01
AJ Barner,SEA,TE,16,2025,123.0,0.4,0.03,0.12,0.01
DJ Moore,CHI,WR,16,2025,124.0,0.4,0.02,0.02,0.0
Jordan Mason,MIN,RB,15,2025,125.0,0.4,0.03,-0.83,-0.06
Terry McLaurin,WAS,WR,9,2025,126.0,0.38,0.04,0.3,0.03
Parker Washington,JAC,WR,15,2025,127.0,0.33,0.02,0.0,0.0
Khalil Shakir,BUF,WR,16,2025,128.0,0.33,0.02,0.1,0.01
Marvin Harrison Jr.,ARI,WR,12,2025,129.0,0.32,0.03,0.1,0.01
Tyreek Hill,MIA,WR,4,2025,130.0,0.32,0.08,0.32,0.08
Bam Knight,ARI,RB,12,2025,131.0,0.3,0.03,-0.68,-0.06
Brenton Strange,JAC,TE,11,2025,132.0,0.3,0.03,0.22,0.02
Tyler Allgeier,ATL,RB,16,2025,133.0,0.29,0.02,-1.02,-0.06
Romeo Doubs,GB,WR,16,2025,134.0,0.29,0.02,-0.04,-0.0
Aaron Rodgers,PIT,QB,15,2025,135.0,0.29,0.02,,
Mike Evans,TB,WR,7,2025,136.0,0.28,0.04,0.22,0.03
Michael Carter,ARI,RB,12,2025,137.0,0.24,0.02,-0.73,-0.06
Blake Corum,LAR,RB,16,2025,138.0,0.22,0.01,-1.2,-0.07
Kyler Murray,ARI,QB,5,2025,139.0,0.21,0.04,,
Bryce Young,CAR,QB,15,2025,140.0,0.2,0.01,,
Jordan Addison,MIN,WR,13,2025,141.0,0.19,0.01,0.02,0.0
Jawhar Jordan,HOU,RB,3,2025,142.0,0.19,0.06,-0.03,-0.01
Tyler Shough,NO,QB,10,2025,143.0,0.18,0.02,,
Theo Johnson,NYG,TE,15,2025,144.0,0.17,0.01,-0.06,-0.0
James Conner,ARI,RB,4,2025,145.0,0.15,0.04,-0.17,-0.04
Brian Thomas Jr.,JAC,WR,13,2025,146.0,0.12,0.01,-0.07,-0.01
J.J. McCarthy,MIN,QB,9,2025,147.0,0.11,0.01,,
Malik Willis,GB,QB,4,2025,148.0,0.1,0.03,,
Michael Penix Jr.,ATL,QB,9,2025,149.0,0.09,0.01,,
Chris Godwin Jr.,TB,WR,8,2025,150.0,0.07,0.01,-0.08,-0.01
Justice Hill,BAL,RB,10,2025,151.0,0.06,0.01,-0.92,-0.09
Davis Mills,HOU,QB,5,2025,152.0,0.06,0.01,,
Tre Tucker,LV,WR,16,2025,153.0,0.05,0.0,-0.41,-0.03
Carson Wentz,MIN,QB,5,2025,154.0,0.04,0.01,,
Trey Benson,ARI,RB,5,2025,155.0,0.02,0.0,-0.38,-0.08
Albert Okwuegbunam Jr.,LV,TE,1,2025,156.0,0.02,0.02,0.02,0.02
Kayshon Boutte,NE,WR,13,2025,157.0,0.02,0.0,-0.32,-0.02
Devin Neal,NO,RB,9,2025,158.0,0.01,0.0,-0.76,-0.08
Joe Flacco,CIN,QB,12,2025,159.0,0.01,0.0,,
Jalen McMillan,TB,WR,3,2025,160.0,0.0,0.0,-0.07,-0.02
Colby Parkinson,LAR,TE,14,2025,161.0,-0.0,-0.0,-0.31,-0.02
Theo Wease Jr.,MIA,WR,2,2025,162.0,-0.02,-0.01,-0.05,-0.02
Mark Andrews,BAL,TE,16,2025,163.0,-0.02,-0.0,-0.36,-0.02
Miles Sanders,DAL,RB,4,2025,164.0,-0.03,-0.01,-0.35,-0.09
Isiah Pacheco,KC,RB,13,2025,165.0,-0.03,-0.0,-1.12,-0.09
Travis Hunter,JAC,WR,7,2025,166.0,-0.04,-0.01,-0.21,-0.03
Jameis Winston,NYG,QB,3,2025,167.0,-0.05,-0.02,,
Devin Singletary,NYG,RB,16,2025,168.0,-0.06,-0.0,-1.53,-0.1
Ricky Pearsall,SF,WR,10,2025,169.0,-0.06,-0.01,-0.3,-0.03
Mac Jones,SF,QB,11,2025,170.0,-0.06,-0.01,,
Brittain Brown,CHI,RB,2,2025,171.0,-0.06,-0.03,-0.25,-0.13
Chris Rodriguez Jr.,WAS,RB,12,2025,172.0,-0.07,-0.01,-1.1,-0.09
Jacardia Wright,SEA,RB,1,2025,173.0,-0.09,-0.09,-0.2,-0.2
Audric Estime,NO,RB,6,2025,174.0,-0.1,-0.02,-0.67,-0.11
Amar Johnson,LAC,RB,1,2025,175.0,-0.11,-0.11,-0.22,-0.22
Myles Gaskin,FA,RB,1,2025,176.0,-0.11,-0.11,-0.22,-0.22
Jared Wayne,HOU,WR,1,2025,177.0,-0.11,-0.11,-0.15,-0.15
Kendall Milton,CIN,RB,1,2025,178.0,-0.11,-0.11,-0.23,-0.23
Sal Cannella,CLE,TE,1,2025,179.0,-0.12,-0.12,-0.15,-0.15
Chris Collier,LV,RB,1,2025,180.0,-0.12,-0.12,-0.24,-0.24
