player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Jaxson Dart,NYG,QB,13,2025,57.0,1.45,0.11,,
Tony Pollard,TEN,RB,16,2025,58.0,1.44,0.09,0.44,0.03
Jameson Williams,DET,WR,16,2025,59.0,1.43,0.09,1.21,0.08
Kyle Pitts Sr.,ATL,TE,16,2025,60.0,1.41,0.09,0.72,0.05
Zay Flowers,BAL,WR,16,2025,61.0,1.38,0.09,1.41,0.09
Travis Kelce,KC,TE,16,2025,62.0,1.36,0.08,0.76,0.05
Jake Ferguson,DAL,TE,16,2025,63.0,1.32,0.08,0.7,0.04
Zach Charbonnet,SEA,RB,15,2025,64.0,1.31,0.09,0.34,0.02
Tee Higgins,CIN,WR,14,2025,65.0,1.31,0.09,1.23,0.09
Harold Fannin Jr.,CLE,TE,16,2025,66.0,1.3,0.08,0.73,0.05
Daniel Jones,IND,QB,13,2025,67.0,1.27,0.1,,
Tucker Kraft,GB,TE,8,2025,68.0,1.2,0.15,0.84,0.11
Rhamondre Stevenson,NE,RB,13,2025,69.0,1.2,0.09,0.29,0.02
Tyler Warren,IND,TE,16,2025,70.0,1.18,0.07,0.63,0.04
Stefon Diggs,NE,WR,16,2025,71.0,1.17,0.07,1.14,0.07
Michael Wilson,ARI,WR,16,2025,72.0,1.14,0.07,0.79,0.05
Michael Pittman Jr.,IND,WR,16,2025,73.0,1.1,0.07,1.03,0.06
Tetairoa McMillan,CAR,WR,16,2025,74.0,1.07,0.07,1.02,0.06
Jacoby Brissett,ARI,QB,13,2025,75.0,1.04,0.08,,
Baker Mayfield,TB,QB,16,2025,76.0,1.04,0.06,,
J.K. Dobbins,DEN,RB,10,2025,77.0,1.02,0.1,0.47,0.05
David Montgomery,DET,RB,16,2025,78.0,1.0,0.06,-0.1,-0.01
Jaylen Waddle,MIA,WR,16,2025,79.0,1.0,0.06,0.95,0.06
Juwan Johnson,NO,TE,16,2025,80.0,0.99,0.06,0.43,0.03
DK Metcalf,PIT,WR,15,2025,81.0,0.98,0.07,1.01,0.07
Quentin Johnston,LAC,WR,14,2025,82.0,0.97,0.07,0.87,0.06
Lamar Jackson,BAL,QB,12,2025,83.0,0.96,0.08,,
Deebo Samuel Sr.,WAS,WR,15,2025,84.0,0.96,0.06,0.91,0.06
