player,team,position,games,year,rank,WAR,WAR/G,Superflex WAR,Superflex WAR/G,Flex WAR,Flex WAR/G
Deion Hankins,CHI,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Kye Robichaux,DET,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Sincere McCormick,FA,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Elijah Mitchell,NE,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Keaontay Ingram,KC,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Ulysses Bentley IV,IND,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Chris Collier,LV,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Jordan Mims,TEN,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Jashaun Corbin,NE,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Raheem Blackshear,FA,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Michael Burton,DEN,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Avery Williams,FA,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Jeff Wilson Jr.,MIA,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Xazavian Valladay,FA,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Keilan Robinson,NYJ,RB,1,2025,180.0,-0.12,-0.12,-0.21,-0.21,-0.23,-0.23
Shedeur Sanders,CLE,QB,7,2025,195.0,-0.12,-0.02,0.24,0.03,,
Austin Ekeler,WAS,RB,3,2025,196.0,-0.14,-0.05,-0.36,-0.12,-0.39,-0.13
Luther Burden III,CHI,WR,14,2025,197.0,-0.14,-0.01,-0.3,-0.02,-0.42,-0.03
Philip Rivers,IND,QB,3,2025,198.0,-0.15,-0.05,0.07,0.02,,
Zach Davidson,NYG,TE,1,2025,199.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Patrick Murtagh,DEN,TE,1,2025,199.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Princeton Fant,DAL,TE,1,2025,199.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Kenny Yeboah,FA,TE,1,2025,199.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
CJ Dippre,NE,TE,1,2025,199.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Zach Horton,DET,TE,1,2025,199.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Drake Dabney,GB,TE,1,2025,199.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Nikola Kalinic,CHI,TE,1,2025,199.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Tyler Ott,WAS,TE,1,2025,199.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Andrew DePaola,MIN,TE,1,2025,199.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Lawrence Cager,WAS,TE,1,2025,199.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Malik Cunningham,DET,WR,1,2025,210.0,-0.16,-0.16,-0.21,-0.21,-0.22,-0.22
DJ Turner,LV,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Jeremiah Webb,NE,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Brandon Smith,NE,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Dan Chisena,CAR,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Ronnie Bell,NO,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Maurice Alexander,CHI,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Bryson Green,ARI,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Cade McDonald,FA,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
River Cracraft,WAS,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Ja'Corey Brooks,WAS,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Jacob Cowing,SF,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Chandler Brayboy,JAC,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Parris Campbell,DAL,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Kristian Wilkerson,FA,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Russell Gage Jr.,FA,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Jordan Moore,CIN,WR,1,2025,211.0,-0.16,-0.16,-0.21,-0.21,-0.23,-0.23
Clyde Edwards-Helaire,KC,RB,2,2025,227.0,-0.17,-0.09,-0.34,-0.17,-0.37,-0.18
Najee Harris,LAC,RB,3,2025,228.0,-0.17,-0.06,-0.4,-0.13,-0.43,-0.14
Dylan Sampson,CLE,RB,14,2025,229.0,-0.17,-0.01,-1.18,-0.08,-1.31,-0.09
Jayden Reed,GB,WR,6,2025,230.0,-0.19,-0.03,-0.21,-0.03,-0.24,-0.04
Sean Tucker,TB,RB,16,2025,231.0,-0.19,-0.01,-1.45,-0.09,-1.64,-0.1
Will Grier,DAL,QB,1,2025,232.0,-0.19,-0.19,-0.21,-0.21,,
Stetson Bennett IV,LAR,QB,1,2025,232.0,-0.19,-0.19,-0.21,-0.21,,
Brett Rypien,MIN,QB,1,2025,232.0,-0.19,-0.19,-0.21,-0.21,,
Jarrett Stidham,DEN,QB,1,2025,235.0,-0.2,-0.2,-0.21,-0.21,,
Adrian Martinez,SF,QB,1,2025,235.0,-0.2,-0.2,-0.21,-0.21,,
Chig Okonkwo,TEN,TE,16,2025,237.0,-0.2,-0.01,-0.74,-0.05,-0.84,-0.05
Ty Chandler,MIN,RB,2,2025,238.0,-0.2,-0.1,-0.38,-0.19,-0.4,-0.2
Clayton Tune,GB,QB,1,2025,239.0,-0.21,-0.21,-0.24,-0.24,,
Josh Williams,FA,RB,2,2025,240.0,-0.22,-0.11,-0.4,-0.2,-0.43,-0.22
Raheim Sanders,CLE,RB,4,2025,241.0,-0.22,-0.05,-0.52,-0.13,-0.56,-0.14
Braelon Allen,NYJ,RB,4,2025,242.0,-0.22,-0.06,-0.53,-0.13,-0.57,-0.14
Bhayshul Tuten,JAC,RB,14,2025,243.0,-0.23,-0.02,-1.22,-0.09,-1.34,-0.1
David Njoku,CLE,TE,12,2025,244.0,-0.23,-0.02,-0.66,-0.05,-0.74,-0.06
Alexander Mattison,MIA,RB,2,2025,245.0,-0.23,-0.12,-0.42,-0.21,-0.45,-0.23
Jordan James,SF,RB,2,2025,245.0,-0.23,-0.12,-0.42,-0.21,-0.45,-0.23
Gary Brightwell,CIN,RB,2,2025,245.0,-0.23,-0.12,-0.42,-0.21,-0.45,-0.23
Lew Nichols III,PIT,RB,2,2025,245.0,-0.23,-0.12,-0.42,-0.21,-0.45,-0.23
T.J. Hockenson,MIN,TE,15,2025,249.0,-0.23,-0.02,-0.74,-0.05,-0.83,-0.06
Tory Horton,SEA,WR,8,2025,250.0,-0.23,-0.03,-0.35,-0.04,-0.42,-0.05
Xavier Restrepo,TEN,WR,2,2025,251.0,-0.23,-0.12,-0.28,-0.14,-0.3,-0.15
Jake Browning,CIN,QB,5,2025,252.0,-0.24,-0.05,0.05,0.01,,
Nick Chubb,HOU,RB,15,2025,253.0,-0.24,-0.02,-1.29,-0.09,-1.4,-0.09
Justin Watson,HOU,WR,2,2025,254.0,-0.25,-0.12,-0.3,-0.15,-0.33,-0.16
Chris Oladokun,KC,QB,2,2025,255.0,-0.25,-0.12,-0.16,-0.08,,
Tyrod Taylor,NYJ,QB,6,2025,256.0,-0.25,-0.04,0.1,0.02,,
Quinn Ewers,MIA,QB,3,2025,257.0,-0.26,-0.09,-0.1,-0.03,,
Marquise Brown,KC,WR,15,2025,258.0,-0.26,-0.02,-0.34,-0.02,-0.44,-0.03
Jaret Patterson,LAC,RB,5,2025,259.0,-0.26,-0.05,-0.65,-0.13,-0.71,-0.14
Emanuel Wilson,GB,RB,16,2025,260.0,-0.26,-0.02,-1.49,-0.09,-1.67,-0.1
Kendre Miller,NO,RB,7,2025,261.0,-0.27,-0.04,-0.79,-0.11,-0.85,-0.12
